timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1511244559928,2.166,0.95,Plecotus auritus,0.833,Nyctalus leisleri,0.093,Myotis brandtii,0.063
1511247275825,1.019,0.988,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1511248657587,2.128,0.99,Nyctalus leisleri,0.964,Pipistrellus nathusii,0.026,Pipistrellus pipistrellus,0.01
1511334063862,1.557,0.966,Pipistrellus nathusii,0.756,Nyctalus leisleri,0.194,Pipistrellus pipistrellus,0.049
1511426835792,2.963,0.966,Pipistrellus nathusii,0.918,Nyctalus leisleri,0.066,Nyctalus noctula,0.006
1511454334986,0.626,0.989,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1511454334986,2.155,0.975,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1511455181653,2.403,0.991,Pipistrellus nathusii,0.975,Nyctalus leisleri,0.023,Pipistrellus pipistrellus,0.001
1511455181653,2.85,0.984,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1511475178932,1.472,0.952,Pipistrellus nathusii,1.0,Pipistrellus pipistrellus,0.0,Nyctalus leisleri,0.0
1511504195840,2.559,0.97,Pipistrellus nathusii,0.875,Pipistrellus pipistrellus,0.069,Nyctalus leisleri,0.049
1511509508440,1.977,0.996,Pipistrellus pipistrellus,0.951,Pipistrellus nathusii,0.049,Nyctalus leisleri,0.0
1511553950074,2.413,0.958,Nyctalus leisleri,0.957,Pipistrellus pipistrellus,0.04,Pipistrellus nathusii,0.002
1511595493612,0.178,1.0,Pipistrellus pipistrellus,0.989,Pipistrellus nathusii,0.01,Nyctalus leisleri,0.001
1511607441592,1.757,0.98,Pipistrellus nathusii,0.975,Nyctalus leisleri,0.014,Pipistrellus pipistrellus,0.007
1511688435172,0.097,0.983,Nyctalus noctula,0.785,Nyctalus leisleri,0.214,Pipistrellus pipistrellus,0.001
1511803292571,0.016,0.962,Pipistrellus nathusii,0.991,Pipistrellus pipistrellus,0.008,Nyctalus leisleri,0.001
1511812747385,1.622,0.975,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Nyctalus leisleri,0.0
1511896550412,1.616,0.991,Nyctalus leisleri,1.0,Myotis brandtii,0.0,Pipistrellus pygmaeus,0.0
1512031891512,2.015,0.983,Pipistrellus nathusii,0.998,Nyctalus leisleri,0.001,Pipistrellus pipistrellus,0.001
1512062586513,1.816,0.97,Pipistrellus nathusii,1.0,Pipistrellus pipistrellus,0.0,Nyctalus leisleri,0.0
1512068048519,0.022,0.955,Pipistrellus nathusii,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
1512112473280,0.932,0.998,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Nyctalus leisleri,0.0
1512112473280,2.834,0.973,Pipistrellus pipistrellus,0.986,Pipistrellus nathusii,0.011,Nyctalus leisleri,0.002
1512218533936,0.076,0.963,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1512373017273,1.659,0.997,Pipistrellus pipistrellus,0.796,Pipistrellus nathusii,0.204,Nyctalus leisleri,0.0
1512373017273,2.343,0.957,Nyctalus leisleri,0.762,Myotis brandtii,0.229,Pipistrellus nathusii,0.006
1512373017273,2.666,0.965,Pipistrellus nathusii,1.0,Pipistrellus pipistrellus,0.0,Nyctalus leisleri,0.0
1512380885101,1.762,0.994,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1512390922300,2.177,0.972,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1512410143828,0.005,0.977,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1512467205108,2.844,0.958,Nyctalus leisleri,0.778,Pipistrellus nathusii,0.222,Pipistrellus pipistrellus,0.0
1512492464857,1.886,0.998,Pipistrellus pipistrellus,0.767,Pipistrellus nathusii,0.232,Nyctalus leisleri,0.0
1512492464857,1.885,0.994,Pipistrellus pipistrellus,0.547,Pipistrellus nathusii,0.41,Nyctalus leisleri,0.022
1512496272915,2.392,0.989,Pipistrellus nathusii,0.998,Nyctalus leisleri,0.001,Pipistrellus pipistrellus,0.001
1512496272915,2.85,0.977,Pipistrellus nathusii,0.503,Pipistrellus pipistrellus,0.497,Nyctalus leisleri,0.001
1512550409445,2.753,0.951,Pipistrellus nathusii,0.681,Pipistrellus pipistrellus,0.284,Nyctalus leisleri,0.033
1512551199004,2.861,0.956,Nyctalus leisleri,1.0,Myotis brandtii,0.0,Pipistrellus nathusii,0.0
1512566283602,0.393,0.974,Pipistrellus nathusii,0.999,Nyctalus leisleri,0.001,Myotis brandtii,0.0
1512590919209,2.597,0.964,Nyctalus leisleri,0.975,Pipistrellus nathusii,0.015,Pipistrellus pipistrellus,0.007
1512670813142,2.343,0.98,Pipistrellus pipistrellus,0.932,Pipistrellus nathusii,0.068,Nyctalus leisleri,0.0
1512713975772,2.639,0.993,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1512721150892,2.963,0.951,Pipistrellus pipistrellus,0.692,Pipistrellus nathusii,0.308,Nyctalus leisleri,0.0
1512724924780,2.354,0.988,Pipistrellus nathusii,0.734,Myotis brandtii,0.151,Nyctalus leisleri,0.089
1512754483775,0.636,0.996,Pipistrellus pipistrellus,0.944,Pipistrellus nathusii,0.051,Nyctalus noctula,0.003
1512754483775,1.8,0.964,Pipistrellus pipistrellus,0.516,Pipistrellus nathusii,0.481,Nyctalus leisleri,0.003
1512754982481,0.566,0.974,Pipistrellus pipistrellus,0.967,Pipistrellus nathusii,0.032,Pipistrellus pygmaeus,0.0
